,Name,Year,Age Group,Number of People
0,California,2010,Moved to different state 1 to 4 years,35083
1,California,2011,Moved to different state 1 to 4 years,33003
2,California,2012,Moved to different state 1 to 4 years,36092
3,California,2013,Moved to different state 1 to 4 years,32072
4,California,2014,Moved to different state 1 to 4 years,36055
5,California,2015,Moved to different state 1 to 4 years,37476
6,California,2016,Moved to different state 1 to 4 years,40320
7,California,2017,Moved to different state 1 to 4 years,40014
8,California,2018,Moved to different state 1 to 4 years,43756
9,California,2019,Moved to different state 1 to 4 years,33520
10,California,2010,Moved to different state 5 to 17 years,75172
11,California,2011,Moved to different state 5 to 17 years,65543
12,California,2012,Moved to different state 5 to 17 years,68640
13,California,2013,Moved to different state 5 to 17 years,73256
14,California,2014,Moved to different state 5 to 17 years,69369
15,California,2015,Moved to different state 5 to 17 years,71434
16,California,2016,Moved to different state 5 to 17 years,78415
17,California,2017,Moved to different state 5 to 17 years,75012
18,California,2018,Moved to different state 5 to 17 years,85452
19,California,2019,Moved to different state 5 to 17 years,69751
20,California,2010,Moved to different state 18 to 24 years,129738
21,California,2011,Moved to different state 18 to 24 years,130745
22,California,2012,Moved to different state 18 to 24 years,128854
23,California,2013,Moved to different state 18 to 24 years,140495
24,California,2014,Moved to different state 18 to 24 years,130647
25,California,2015,Moved to different state 18 to 24 years,148477
26,California,2016,Moved to different state 18 to 24 years,137926
27,California,2017,Moved to different state 18 to 24 years,139656
28,California,2018,Moved to different state 18 to 24 years,133012
29,California,2019,Moved to different state 18 to 24 years,132753
30,California,2010,Moved to different state 25 to 34 years,135602
31,California,2011,Moved to different state 25 to 34 years,139926
32,California,2012,Moved to different state 25 to 34 years,135715
33,California,2013,Moved to different state 25 to 34 years,134430
34,California,2014,Moved to different state 25 to 34 years,146081
35,California,2015,Moved to different state 25 to 34 years,153948
36,California,2016,Moved to different state 25 to 34 years,152950
37,California,2017,Moved to different state 25 to 34 years,154963
38,California,2018,Moved to different state 25 to 34 years,171887
39,California,2019,Moved to different state 25 to 34 years,160668
40,California,2010,Moved to different state 35 to 44 years,72342
41,California,2011,Moved to different state 35 to 44 years,70641
42,California,2012,Moved to different state 35 to 44 years,72600
43,California,2013,Moved to different state 35 to 44 years,75048
44,California,2014,Moved to different state 35 to 44 years,74033
45,California,2015,Moved to different state 35 to 44 years,83529
46,California,2016,Moved to different state 35 to 44 years,85401
47,California,2017,Moved to different state 35 to 44 years,85184
48,California,2018,Moved to different state 35 to 44 years,88191
49,California,2019,Moved to different state 35 to 44 years,85354
50,California,2010,Moved to different state 45 to 54 years,53311
51,California,2011,Moved to different state 45 to 54 years,49515
52,California,2012,Moved to different state 45 to 54 years,52689
53,California,2013,Moved to different state 45 to 54 years,49213
54,California,2014,Moved to different state 45 to 54 years,50788
55,California,2015,Moved to different state 45 to 54 years,54888
56,California,2016,Moved to different state 45 to 54 years,56010
57,California,2017,Moved to different state 45 to 54 years,54712
58,California,2018,Moved to different state 45 to 54 years,58031
59,California,2019,Moved to different state 45 to 54 years,54340
60,California,2010,Moved to different state 55 to 64 years,42222
61,California,2011,Moved to different state 55 to 64 years,40850
62,California,2012,Moved to different state 55 to 64 years,40181
63,California,2013,Moved to different state 55 to 64 years,42914
64,California,2014,Moved to different state 55 to 64 years,46075
65,California,2015,Moved to different state 55 to 64 years,51010
66,California,2016,Moved to different state 55 to 64 years,54275
67,California,2017,Moved to different state 55 to 64 years,58209
68,California,2018,Moved to different state 55 to 64 years,54093
69,California,2019,Moved to different state 55 to 64 years,55343
70,California,2010,Moved to different state 65 to 74 years,18111
71,California,2011,Moved to different state 65 to 74 years,19436
72,California,2012,Moved to different state 65 to 74 years,20169
73,California,2013,Moved to different state 65 to 74 years,21027
74,California,2014,Moved to different state 65 to 74 years,25560
75,California,2015,Moved to different state 65 to 74 years,28058
76,California,2016,Moved to different state 65 to 74 years,34697
77,California,2017,Moved to different state 65 to 74 years,34374
78,California,2018,Moved to different state 65 to 74 years,35680
79,California,2019,Moved to different state 65 to 74 years,39314
80,California,2010,Moved to different state 75 years and over,12407
81,California,2011,Moved to different state 75 years and over,12684
82,California,2012,Moved to different state 75 years and over,12046
83,California,2013,Moved to different state 75 years and over,13224
84,California,2014,Moved to different state 75 years and over,14700
85,California,2015,Moved to different state 75 years and over,14890
86,California,2016,Moved to different state 75 years and over,17696
87,California,2017,Moved to different state 75 years and over,18902
88,California,2018,Moved to different state 75 years and over,21043
89,California,2019,Moved to different state 75 years and over,22508
